fold_id,period,test_start,test_end,prophet_MAE,prophet_RMSE,hybrid_MAE,hybrid_RMSE,n_test
159,BASELINE,2025-01-14,2025-01-14,40.88955569295905,40.88955569295905,14.74962306051276,14.74962306051276,1
160,BASELINE,2025-01-21,2025-01-21,56.13517532036971,56.13517532036971,37.28006973578263,37.28006973578263,1
161,BASELINE,2025-01-28,2025-01-28,4.882270392325978,4.882270392325978,2.1579012309040024,2.1579012309040024,1
162,BASELINE,2025-02-04,2025-02-04,63.68009501350113,63.68009501350113,19.57122736823746,19.57122736823746,1
163,BASELINE,2025-02-11,2025-02-11,47.9389124378737,47.9389124378737,27.30212883802018,27.30212883802018,1
164,BASELINE,2025-02-18,2025-02-18,33.85095320319506,33.85095320319506,2.47375764275219,2.47375764275219,1
165,BASELINE,2025-02-25,2025-02-25,21.53393959133399,21.53393959133399,26.368216744349127,26.368216744349127,1
166,BASELINE,2025-03-04,2025-03-04,23.98886609320145,23.98886609320145,35.36268258337479,35.36268258337479,1
167,BASELINE,2025-03-11,2025-03-11,4.996257435008573,4.996257435008573,10.845000873729276,10.845000873729276,1
168,BASELINE,2025-03-18,2025-03-18,17.830989113882893,17.830989113882893,5.3070986185826,5.3070986185826,1
169,BASELINE,2025-03-25,2025-03-25,14.02958721611462,14.02958721611462,14.926217608714481,14.926217608714481,1
170,BASELINE,2025-04-01,2025-04-01,2.991475176756424,2.991475176756424,11.246273112242264,11.246273112242264,1
171,BASELINE,2025-04-08,2025-04-08,3.730539304130076,3.730539304130076,5.987823504097463,5.987823504097463,1
172,BASELINE,2025-04-15,2025-04-15,29.709224668305424,29.709224668305424,27.412930932801274,27.412930932801274,1
173,BASELINE,2025-04-22,2025-04-22,8.103179710101685,8.103179710101685,8.057457408052286,8.057457408052286,1
174,BASELINE,2025-04-29,2025-04-29,38.61436190321611,38.61436190321611,35.14746346190141,35.14746346190141,1
175,BASELINE,2025-05-06,2025-05-06,16.26494554938266,16.26494554938266,14.290781182660552,14.290781182660552,1
176,BASELINE,2025-05-13,2025-05-13,18.007514945858745,18.007514945858745,4.6390123289764205,4.6390123289764205,1
177,BASELINE,2025-05-20,2025-05-20,3.4697373623777565,3.4697373623777565,9.710791897289866,9.710791897289866,1
178,BASELINE,2025-05-27,2025-05-27,23.966163620350628,23.966163620350628,12.075841888783245,12.075841888783245,1
179,BASELINE,2025-06-03,2025-06-03,24.740971059168743,24.740971059168743,17.7749447530164,17.7749447530164,1
180,BASELINE,2025-06-10,2025-06-10,53.80800535721508,53.80800535721508,39.88409998459545,39.88409998459545,1
181,BASELINE,2025-06-17,2025-06-17,28.782313711784454,28.782313711784454,17.33836591973123,17.33836591973123,1
182,BASELINE,2025-06-24,2025-06-24,66.58350919168969,66.58350919168969,32.61684583109398,32.61684583109398,1
183,BASELINE,2025-07-01,2025-07-01,22.95902324264091,22.95902324264091,49.03812289779228,49.03812289779228,1
184,BASELINE,2025-07-08,2025-07-08,32.09764171944089,32.09764171944089,9.52404857979245,9.52404857979245,1
185,BASELINE,2025-07-15,2025-07-15,37.58863620022025,37.58863620022025,11.398134033472203,11.398134033472203,1
