fold_id,period,test_start,test_end,chronos_MAE,chronos_RMSE,naive_MAE,naive_RMSE,n_test
126,BASELINE,2024-05-28,2024-05-28,12.32688557942707,12.32688557942707,16.12999999999998,16.12999999999998,1
127,BASELINE,2024-06-04,2024-06-04,6.485939127604183,6.485939127604183,9.909999999999997,9.909999999999997,1
128,BASELINE,2024-06-11,2024-06-11,29.099072062174486,29.099072062174486,31.014166666666668,31.014166666666668,1
129,BASELINE,2024-06-18,2024-06-18,7.160392354329431,7.160392354329431,1.860833333333332,1.860833333333332,1
130,BASELINE,2024-06-25,2024-06-25,19.60276224772136,19.60276224772136,16.487083333333345,16.487083333333345,1
131,BASELINE,2024-07-02,2024-07-02,4.617690633138025,4.617690633138025,6.214166666666657,6.214166666666657,1
132,BASELINE,2024-07-09,2024-07-09,10.953023071289067,10.953023071289067,10.730833333333337,10.730833333333337,1
133,BASELINE,2024-07-16,2024-07-16,35.05586669921875,35.05586669921875,27.369999999999997,27.369999999999997,1
134,BASELINE,2024-07-23,2024-07-23,11.418720804850253,11.418720804850253,11.719166666666652,11.719166666666652,1
135,BASELINE,2024-07-30,2024-07-30,0.9621860758463612,0.9621860758463612,5.622083333333336,5.622083333333336,1
136,BASELINE,2024-08-06,2024-08-06,5.7053790283203085,5.7053790283203085,12.876249999999999,12.876249999999999,1
137,BASELINE,2024-08-13,2024-08-13,10.35823689778644,10.35823689778644,7.679999999999978,7.679999999999978,1
138,BASELINE,2024-08-20,2024-08-20,12.387542826334652,12.387542826334652,16.08416666666669,16.08416666666669,1
139,BASELINE,2024-08-27,2024-08-27,1.9131830851237055,1.9131830851237055,8.6875,8.6875,1
140,BASELINE,2024-09-03,2024-09-03,54.05725972493488,54.05725972493488,43.318333333333314,43.318333333333314,1
141,BASELINE,2024-09-10,2024-09-10,43.33975189208984,43.33975189208984,40.692083333333336,40.692083333333336,1
142,BASELINE,2024-09-17,2024-09-17,8.384306233723962,8.384306233723962,8.57916666666668,8.57916666666668,1
143,BASELINE,2024-09-24,2024-09-24,19.035971679687506,19.035971679687506,29.590000000000003,29.590000000000003,1
144,BASELINE,2024-10-01,2024-10-01,10.301865539550775,10.301865539550775,34.51208333333333,34.51208333333333,1
145,BASELINE,2024-10-08,2024-10-08,0.8613271077473996,0.8613271077473996,7.596666666666664,7.596666666666664,1
146,BASELINE,2024-10-15,2024-10-15,3.7549994913737095,3.7549994913737095,10.589166666666685,10.589166666666685,1
147,BASELINE,2024-10-22,2024-10-22,7.820193990071601,7.820193990071601,19.97499999999998,19.97499999999998,1
148,BASELINE,2024-10-29,2024-10-29,30.097884318033863,30.097884318033863,29.83083333333336,29.83083333333336,1
149,BASELINE,2024-11-05,2024-11-05,43.22143951416015,43.22143951416015,38.91666666666666,38.91666666666666,1
150,BASELINE,2024-11-12,2024-11-12,34.717063395182294,34.717063395182294,44.35749999999999,44.35749999999999,1
151,BASELINE,2024-11-19,2024-11-19,4.575690917968757,4.575690917968757,19.402083333333323,19.402083333333323,1
152,BASELINE,2024-11-26,2024-11-26,21.539820760091132,21.539820760091132,57.73499999999999,57.73499999999999,1
153,BASELINE,2024-12-03,2024-12-03,20.318177083333325,20.318177083333325,34.92416666666665,34.92416666666665,1
154,BASELINE,2024-12-10,2024-12-10,31.798165283203133,31.798165283203133,50.337500000000006,50.337500000000006,1
