fold_id,period,LEAR_A_price_only_MAE,LEAR_E_all_features_MAE,XGB_univariate_MAE,SARIMAX_MAE
193,BASELINE,7.1547082904941135,55.25002843268592,23.056127115885403,28.67882639065232
194,BASELINE,26.81132492099227,9.153742731748174,69.12380126953124,14.70268105424342
195,BASELINE,4.726478841715419,15.436720969970594,12.809461975097662,7.800165113356911
196,BASELINE,2.091611837293925,18.052730199382395,16.345273742675772,17.39740345732349
197,BASELINE,34.6363083666553,38.38723495291221,42.961465555826834,47.94000383196028
198,BASELINE,7.027247753974592,16.488242843092593,23.2561358642578,22.767889829462263
199,BASELINE,42.39885796340897,39.26253891870063,34.9958218383789,27.55465929842474
200,BASELINE,20.289236810909742,22.791039448068787,3.2918977864583354,17.537651348633844
201,BASELINE,15.630105986903033,25.925017600635172,3.3221567789713475,15.364628037075022
202,BASELINE,25.767518659167678,24.130758499982065,6.126953023274723,12.765419611195455
203,BASELINE,5.936180596444913,0.03182520176304138,14.190689798990903,3.313367343372846
204,BASELINE,77.50133387869406,94.6622718177999,102.68133829752605,105.1201219307038
205,BASELINE,20.595987665709345,4.0704009394973895,7.907114054361969,4.352681389348632
206,BASELINE,4.742655506118112,3.768468497227616,2.5387360636393197,5.920662769668695
207,BASELINE,2.02370172134502,1.5275642744490625,23.1831514485677,3.964496575975758
208,BASELINE,30.769012360445927,18.768143626734187,20.073670552571613,23.617426158311403
209,BASELINE,18.551139694272692,20.659737981367087,3.2856182861328165,13.333155345284737
210,BASELINE,10.188139681142715,3.8959623379002863,7.32767649332682,1.038185057948752
211,BASELINE,17.08912281849757,11.485968259163585,3.2677011108398375,1.1600046879658095
212,BASELINE,7.019633048363147,12.833855206637224,31.995415344238268,20.575156934845666
213,BASELINE,22.348565610647285,18.7500682222865,8.638746337890638,9.22971853686505
214,BASELINE,28.845707994843593,21.827797176481823,13.100873819986987,16.58173593022957
215,BASELINE,30.32134072236299,30.01184912848167,10.016476033528633,16.629327263134073
216,BASELINE,18.42669746815092,15.072315548153924,0.3210725911458354,1.895383182913264
217,BASELINE,23.68960402054293,22.733988773514227,33.468901468912776,34.43697113225839
218,SHOCK_2026,1.5925345572827325,0.33860331296064317,13.61217519124348,5.1419696483145
219,SHOCK_2026,7.897667734747216,8.883209486508662,18.052553609212254,2.6375673698606477
220,SHOCK_2026,27.729435145333653,35.430566944325335,39.570053609212266,30.98116559011467
221,SHOCK_2026,76.18724369291346,79.04766409011424,53.54226318359375,73.11945162701105
222,SHOCK_2026,38.93999928272902,30.75007246191103,57.12326543172199,35.58548105610326
223,SHOCK_2026,42.1314767208864,44.07940876749254,9.237072957356773,45.33110855443839
224,SHOCK_2026,9.539298359067601,11.703642219535197,22.070569152832036,10.196961327618808
225,SHOCK_2026,34.42871578991533,26.30353755647552,24.235732218424474,28.80599154241588
226,SHOCK_2026,37.803435983128466,38.280084290315386,17.89925638834636,38.086877775773644
227,SHOCK_2026,2.1606894031599495,1.6085436650986367,18.133807373046892,1.0886956737801654
228,SHOCK_2026,41.56718047684467,31.54742120598999,21.739396667480463,22.625525562220787
229,SHOCK_2026,15.638315083899442,13.92260857205028,7.124266052246099,7.031314288983367
230,SHOCK_2026,6.311565160355798,7.047083123551943,3.4422592163085994,2.4155392612086786
231,SHOCK_2026,31.289053397465736,26.752351653113905,8.499655761718756,18.46354800073253
232,SHOCK_2026,41.07782470747027,37.21748986050015,25.90321940104168,24.006956969124246
233,SHOCK_2026,19.009969488594166,12.828768589577436,25.85480611165363,27.06283118626716
234,SHOCK_2026,38.39228506000646,51.88589232637409,66.02096415201822,53.567185184908325
235,SHOCK_2026,28.17714262994204,37.617128363798486,51.73602823893228,53.50007170122106
236,SHOCK_2026,47.09732389164475,45.56904938081324,43.58790252685547,40.68008985541192
237,SHOCK_2026,6.904719716923935,6.99854636282835,12.60564595540363,7.9984026593216555
238,SHOCK_2026,10.804704650335623,13.08859840358167,7.7521371459960875,4.600085112093225
239,SHOCK_2026,17.71550910251078,7.062642057824291,19.79824961344403,21.296709951954483
240,SHOCK_2026,7.591771319922373,6.383006710489354,20.550005086263013,14.149906693550378
241,SHOCK_2026,22.195187168211334,22.62390035578528,3.923804931640632,18.849550381105672
242,SHOCK_2026,13.015649233451114,12.972587208810722,7.3747737630208405,9.333094517461149
243,SHOCK_2026,17.348544996082694,18.408401607330546,8.599778035481762,7.534520408085427
244,SHOCK_2026,12.797747800101547,6.3266122639493005,26.543406982421885,17.975631613063626
