fold_id,period,variable,coef,pvalue
38,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5102946568887656,3.5515732040786434e-45
38,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.16786324149091558,0.7001399070562411
38,SHOCK_2022,d_gpr_daily_lag2,0.016218003067960896,0.6285169035736349
38,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
39,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5328712039855998,6.18289112864127e-48
39,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.09017556662988273,0.8348060896808449
39,SHOCK_2022,d_gpr_daily_lag2,0.023568230990199873,0.48850417634113696
39,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
40,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5669450115228054,1.5116865670844755e-51
40,SHOCK_2022,d_DCOILBRENTEU_lag2,0.13517846545832338,0.7624048709169612
40,SHOCK_2022,d_gpr_daily_lag2,0.025978552372988423,0.45785369199592474
40,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
41,SHOCK_2022,d_ttf_eur_mwh_lag2,1.533673635445192,7.373192707901318e-36
41,SHOCK_2022,d_DCOILBRENTEU_lag2,0.27524319473014947,0.5791496735296654
41,SHOCK_2022,d_gpr_daily_lag2,0.042726973510064215,0.23712177331670004
41,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
42,SHOCK_2022,d_ttf_eur_mwh_lag2,1.550904306847301,1.620266244458388e-37
42,SHOCK_2022,d_DCOILBRENTEU_lag2,0.27447792570818386,0.5749852466016947
42,SHOCK_2022,d_gpr_daily_lag2,0.043504884295054023,0.22619813417518675
42,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
43,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5629294411115717,2.8242195298204985e-38
43,SHOCK_2022,d_DCOILBRENTEU_lag2,0.26132376946742153,0.5967719557180327
43,SHOCK_2022,d_gpr_daily_lag2,0.04925795232745726,0.17000046079369058
43,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
44,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5680385799325611,9.937626293235366e-39
44,SHOCK_2022,d_DCOILBRENTEU_lag2,0.2539392591104674,0.6064115171744128
44,SHOCK_2022,d_gpr_daily_lag2,0.055807032672363276,0.1179563852415287
44,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
45,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5667116542851087,8.744591904753315e-39
45,SHOCK_2022,d_DCOILBRENTEU_lag2,0.20387239013568043,0.6842255541261375
45,SHOCK_2022,d_gpr_daily_lag2,0.06031213653626319,0.09231088562150995
45,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
46,SHOCK_2022,d_ttf_eur_mwh_lag2,1.569346663506506,1.6151361959102916e-39
46,SHOCK_2022,d_DCOILBRENTEU_lag2,0.2143861378856992,0.6690085981808938
46,SHOCK_2022,d_gpr_daily_lag2,0.051522055647636976,0.14812716001144083
46,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
47,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5589263593371836,7.411170430866076e-55
47,SHOCK_2022,d_DCOILBRENTEU_lag2,0.27914840111970396,0.5449479447240304
47,SHOCK_2022,d_gpr_daily_lag2,0.04032545424256687,0.25927841846022504
47,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
48,SHOCK_2022,d_ttf_eur_mwh_lag2,1.568837961035866,6.873612124557438e-57
48,SHOCK_2022,d_DCOILBRENTEU_lag2,0.24055233924546374,0.5873359198248849
48,SHOCK_2022,d_gpr_daily_lag2,0.03816056505435667,0.28763542257850505
48,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
49,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5286153543856784,8.045706144602694e-47
49,SHOCK_2022,d_DCOILBRENTEU_lag2,0.09897465878270702,0.8249728232145851
49,SHOCK_2022,d_gpr_daily_lag2,0.03565383887257707,0.32293351891158684
