fold_id,period,residual_load_threshold,A_price_calendar_MAE,A_price_calendar_RMSE,B_plus_fundamentals_MAE,B_plus_fundamentals_RMSE,C_plus_hormuz_MAE,C_plus_hormuz_RMSE,D_plus_interactions_MAE,D_plus_interactions_RMSE
104,BASELINE,42748.899999999994,13.60661752062638,13.60661752062638,20.446027919921743,20.446027919921743,20.446027919921743,20.446027919921743,20.69636109058327,20.69636109058327
105,BASELINE,42718.025,0.1538785802610434,0.1538785802610434,1.4273734428399507,1.4273734428399507,1.4273734428399507,1.4273734428399507,3.3581046092410034,3.3581046092410034
106,BASELINE,42690.31041666667,9.88694339837349,9.88694339837349,9.882211867209037,9.882211867209037,9.882211867209037,9.882211867209037,9.79669839097086,9.79669839097086
107,BASELINE,42643.91119791667,6.391523334244297,6.391523334244297,10.068095576439802,10.068095576439802,10.068095576439802,10.068095576439802,10.494352112246887,10.494352112246887
108,BASELINE,42691.958333333336,20.224539960619893,20.224539960619893,17.64872380182588,17.64872380182588,17.64872380182588,17.64872380182588,11.941729049844085,11.941729049844085
109,BASELINE,42718.025,7.608206010148365,7.608206010148365,3.685979682629579,3.685979682629579,3.685979682629579,3.685979682629579,4.23379778169253,4.23379778169253
110,BASELINE,42690.31041666667,8.62574511311768,8.62574511311768,10.42423918097122,10.42423918097122,10.42423918097122,10.42423918097122,11.31264881457625,11.31264881457625
111,BASELINE,42643.91119791667,10.736358665693572,10.736358665693572,8.126119833952998,8.126119833952998,8.126119833952998,8.126119833952998,7.73120634800928,7.73120634800928
112,BASELINE,42641.451562500006,2.4298716800959212,2.4298716800959212,0.8784263617561194,0.8784263617561194,0.8784263617561194,0.8784263617561194,0.6480172209266044,0.6480172209266044
113,BASELINE,42623.95260416667,7.748092226778283,7.748092226778283,9.995733251369515,9.995733251369515,9.995733251369515,9.995733251369515,9.133684513775279,9.133684513775279
114,BASELINE,42546.61666666667,8.47741582262897,8.47741582262897,4.241566272209141,4.241566272209141,4.241566272209141,4.241566272209141,2.8201707484357286,2.8201707484357286
115,BASELINE,42594.395312500004,12.146235464020236,12.146235464020236,11.613641905681632,11.613641905681632,11.613641905681632,11.613641905681632,13.02767118308401,13.02767118308401
116,BASELINE,42609.17395833334,5.459347305790146,5.459347305790146,6.298393823569413,6.298393823569413,6.298393823569413,6.298393823569413,4.711481092701433,4.711481092701433
117,BASELINE,42623.95260416667,20.241590087787742,20.241590087787742,19.93760176642874,19.93760176642874,19.93760176642874,19.93760176642874,19.015186220993115,19.015186220993115
118,BASELINE,42579.61666666667,21.25768907172295,21.25768907172295,22.316023170047927,22.316023170047927,22.316023170047927,22.316023170047927,23.52273037637992,23.52273037637992
119,BASELINE,42527.97994791667,24.804131299335303,24.804131299335303,25.558777095913946,25.558777095913946,25.558777095913946,25.558777095913946,25.931819271406134,25.931819271406134
120,BASELINE,42468.84322916667,17.40754667237662,17.40754667237662,17.615870980040604,17.615870980040604,17.615870980040604,17.615870980040604,17.232883864566,17.232883864566
121,BASELINE,42423.63567708334,2.84343958645384,2.84343958645384,2.9675113433980727,2.9675113433980727,2.9675113433980727,2.9675113433980727,3.94109113105074,3.94109113105074
122,BASELINE,42407.286458333336,18.135750806611895,18.135750806611895,16.708056812702225,16.708056812702225,16.708056812702225,16.708056812702225,13.15010764542781,13.15010764542781
123,BASELINE,42311.51770833333,1.8784780337281433,1.8784780337281433,2.3642232491823307,2.3642232491823307,2.3642232491823307,2.3642232491823307,3.325667063802271,3.325667063802271
124,BASELINE,42286.52291666667,36.13832907529786,36.13832907529786,35.26076095647531,35.26076095647531,35.26076095647531,35.26076095647531,35.015916794704935,35.015916794704935
